rep,pop1,pop2,k1,k2
1,0,672,-1.00,3.36
2,0,0,-1.00,-1.00
3,0,532,-1.00,4.69
4,0,470,-1.00,6.23
5,0,0,-1.00,-1.00
6,0,555,-1.00,5.15
7,0,425,-1.00,6.06
8,0,674,-1.00,4.21
9,0,444,-1.00,6.71
10,112,0,11.16,-1.00
11,233,0,10.24,-1.00
12,0,405,-1.00,6.20
13,0,566,-1.00,5.04
14,0,683,-1.00,4.07
15,272,0,8.55,-1.00
16,0,534,-1.00,5.74
17,0,0,-1.00,-1.00
18,0,524,-1.00,4.89
19,0,0,-1.00,-1.00
20,0,338,-1.00,7.86
21,0,687,-1.00,4.00
22,0,486,-1.00,5.59
23,0,482,-1.00,6.31
24,164,0,11.09,-1.00
25,0,557,-1.00,4.89
26,0,0,-1.00,-1.00
27,135,0,10.68,-1.00
28,0,545,-1.00,5.42
29,100,0,11.72,-1.00
30,0,654,-1.00,4.16
31,0,350,-1.00,7.53
32,0,0,-1.00,-1.00
33,0,0,-1.00,-1.00
34,0,401,-1.00,6.23
35,0,545,-1.00,4.99
36,0,625,-1.00,4.83
37,0,355,-1.00,7.14
38,0,393,-1.00,7.21
39,0,642,-1.00,3.96
40,191,0,9.98,-1.00
41,386,0,7.37,-1.00
42,0,564,-1.00,4.79
43,0,666,-1.00,4.03
44,0,0,-1.00,-1.00
45,0,569,-1.00,4.54
46,0,661,-1.00,3.81
47,0,0,-1.00,-1.00
48,0,531,-1.00,5.19
49,0,545,-1.00,4.70
50,0,374,-1.00,6.92
51,0,0,-1.00,-1.00
52,0,536,-1.00,4.72
53,141,0,11.59,-1.00
54,0,396,-1.00,7.40
55,0,489,-1.00,6.28
56,241,0,9.01,-1.00
57,0,484,-1.00,5.36
58,0,426,-1.00,7.10
59,0,541,-1.00,4.63
60,0,528,-1.00,5.65
61,0,753,-1.00,3.49
62,0,0,-1.00,-1.00
63,0,505,-1.00,4.70
64,0,0,-1.00,-1.00
65,0,424,-1.00,7.01
66,0,674,-1.00,4.05
67,0,550,-1.00,5.38
68,101,0,10.74,-1.00
69,0,529,-1.00,5.51
70,0,625,-1.00,4.09
71,0,519,-1.00,6.32
72,0,558,-1.00,5.12
73,50,0,13.76,-1.00
74,0,501,-1.00,6.15
75,0,586,-1.00,4.77
76,0,505,-1.00,5.36
77,0,470,-1.00,5.91
78,136,0,10.97,-1.00
79,0,0,-1.00,-1.00
80,159,0,10.28,-1.00
81,132,0,11.20,-1.00
82,0,593,-1.00,5.22
83,0,0,-1.00,-1.00
84,0,424,-1.00,6.75
85,326,0,8.37,-1.00
86,0,422,-1.00,6.25
87,0,0,-1.00,-1.00
88,0,496,-1.00,5.73
89,0,558,-1.00,5.26
90,297,0,7.88,-1.00
91,0,463,-1.00,6.55
92,14,0,13.57,-1.00
93,0,479,-1.00,6.63
94,0,478,-1.00,6.10
95,115,0,11.84,-1.00
96,0,0,-1.00,-1.00
97,0,495,-1.00,5.89
98,0,481,-1.00,5.14
99,0,0,-1.00,-1.00
100,0,563,-1.00,5.10
