pop1,pop2,k1,k2
713,299,0.00,0.00
888,53,0.00,0.00
819,188,0.00,0.00
0,995,-1.00,0.00
261,746,0.00,0.00
953,79,0.00,0.00
599,470,0.00,0.00
955,0,0.00,-1.00
644,319,0.00,0.00
157,828,0.00,0.00
0,1019,-1.00,0.00
494,506,0.00,0.00
850,179,0.00,0.00
234,734,0.00,0.00
373,695,0.00,0.00
991,0,0.00,-1.00
761,236,0.00,0.00
0,1018,-1.00,0.00
357,600,0.00,0.00
860,152,0.00,0.00
924,123,0.00,0.00
470,525,0.00,0.00
508,507,0.00,0.00
119,886,0.00,0.00
908,0,0.00,-1.00
638,363,0.00,0.00
565,447,0.00,0.00
821,186,0.00,0.00
482,525,0.00,0.00
361,633,0.00,0.00
354,645,0.00,0.00
434,590,0.00,0.00
423,635,0.00,0.00
70,944,0.00,0.00
140,887,0.00,0.00
448,631,0.00,0.00
970,0,0.00,-1.00
1053,0,0.00,-1.00
761,244,0.00,0.00
559,450,0.00,0.00
264,703,0.00,0.00
803,176,0.00,0.00
769,236,0.00,0.00
768,189,0.00,0.00
869,150,0.00,0.00
582,397,0.00,0.00
204,853,0.00,0.00
0,994,-1.00,0.00
60,905,0.00,0.00
1002,28,0.00,0.00
44,998,0.00,0.00
346,587,0.00,0.00
972,0,0.00,-1.00
708,302,0.00,0.00
0,1016,-1.00,0.00
0,966,-1.00,0.00
445,637,0.00,0.00
103,862,0.00,0.00
965,0,0.00,-1.00
707,348,0.00,0.00
0,1003,-1.00,0.00
508,499,0.00,0.00
640,355,0.00,0.00
130,895,0.00,0.00
261,686,0.00,0.00
811,180,0.00,0.00
760,232,0.00,0.00
910,42,0.00,0.00
0,981,-1.00,0.00
804,202,0.00,0.00
979,0,0.00,-1.00
759,155,0.00,0.00
577,412,0.00,0.00
629,270,0.00,0.00
932,22,0.00,0.00
283,732,0.00,0.00
681,334,0.00,0.00
12,943,0.00,0.00
816,172,0.00,0.00
486,477,0.00,0.00
856,96,0.00,0.00
740,221,0.00,0.00
721,265,0.00,0.00
360,637,0.00,0.00
1046,33,0.00,0.00
460,555,0.00,0.00
0,927,-1.00,0.00
1015,0,0.00,-1.00
497,492,0.00,0.00
0,1004,-1.00,0.00
528,458,0.00,0.00
574,431,0.00,0.00
757,292,0.00,0.00
814,200,0.00,0.00
550,417,0.00,0.00
0,974,-1.00,0.00
511,493,0.00,0.00
900,69,0.00,0.00
185,812,0.00,0.00
565,361,0.00,0.00
