pop1,pop2,k1,k2
0,0,-1.00,-1.00
519,875,0.74,0.54
259,1202,0.73,-0.46
1834,0,0.70,-1.00
0,0,-1.00,-1.00
736,286,0.62,0.60
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1438,488,0.62,0.45
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1276,0,0.53,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1232,274,0.52,0.74
1143,0,0.53,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,1149,-1.00,0.01
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1194,0,0.58,-1.00
0,0,-1.00,-1.00
1124,0,0.69,-1.00
0,0,-1.00,-1.00
1220,0,0.64,-1.00
429,626,0.37,0.63
863,317,0.53,0.52
1301,0,0.44,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1095,0,0.68,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
681,674,0.52,0.66
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1582,163,0.53,0.83
619,418,0.76,0.48
1809,0,0.59,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1746,0,0.58,-1.00
0,0,-1.00,-1.00
1248,0,0.54,-1.00
0,0,-1.00,-1.00
1173,101,0.64,0.69
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1225,0,0.58,-1.00
0,0,-1.00,-1.00
1159,32,0.71,1.00
988,0,0.55,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1093,304,0.45,0.40
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1245,0,0.62,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
817,262,0.72,0.39
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
703,721,0.87,0.60
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
963,113,0.76,0.61
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1592,0,0.69,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
