pop1,pop2,k1,k2
0,1129,-1.00,4.81
0,1238,-1.00,4.29
0,1282,-1.00,4.15
0,976,-1.00,6.23
0,1166,-1.00,5.41
0,1370,-1.00,4.69
0,850,-1.00,4.96
0,1119,-1.00,4.58
0,1024,-1.00,5.15
0,1296,-1.00,3.31
0,1239,-1.00,4.31
972,0,7.68,-1.00
1504,0,4.86,-1.00
0,838,-1.00,4.82
0,892,-1.00,4.22
811,0,5.36,-1.00
0,817,-1.00,5.01
647,0,9.45,-1.00
1178,0,5.53,-1.00
0,1068,-1.00,3.48
0,1059,-1.00,3.59
0,763,-1.00,5.84
0,1376,-1.00,4.94
0,700,-1.00,7.44
0,1172,-1.00,6.16
1249,0,8.53,-1.00
0,1440,-1.00,4.56
0,1469,-1.00,5.02
1030,0,6.33,-1.00
0,896,-1.00,4.07
994,0,7.86,-1.00
0,1606,-1.00,5.10
0,981,-1.00,4.91
706,0,6.17,-1.00
0,1095,-1.00,4.74
0,1325,-1.00,4.13
0,1260,-1.00,4.73
0,1329,-1.00,6.53
0,896,-1.00,3.85
0,939,-1.00,4.13
0,1094,-1.00,4.22
0,1086,-1.00,6.11
1149,0,7.72,-1.00
0,803,-1.00,4.14
0,0,-1.00,-1.00
1161,0,6.01,-1.00
0,846,-1.00,4.58
1358,0,5.53,-1.00
0,981,-1.00,5.74
0,1285,-1.00,4.58
663,0,9.10,-1.00
0,977,-1.00,5.42
0,1022,-1.00,5.17
0,796,-1.00,5.72
0,1431,-1.00,5.36
0,1033,-1.00,4.45
810,0,6.96,-1.00
0,0,-1.00,-1.00
802,0,8.36,-1.00
0,1290,-1.00,6.45
0,1277,-1.00,6.44
0,798,-1.00,5.03
0,932,-1.00,5.10
1128,0,7.70,-1.00
0,1026,-1.00,3.66
1217,0,7.72,-1.00
0,0,-1.00,-1.00
0,1271,-1.00,4.01
0,731,-1.00,6.11
0,1187,-1.00,5.54
0,822,-1.00,5.23
0,962,-1.00,5.84
0,913,-1.00,3.32
1032,0,6.53,-1.00
0,809,-1.00,4.83
0,0,-1.00,-1.00
803,0,6.72,-1.00
0,893,-1.00,4.97
0,1175,-1.00,4.46
0,0,-1.00,-1.00
0,945,-1.00,5.98
0,1126,-1.00,4.02
0,975,-1.00,3.41
795,0,6.67,-1.00
0,1395,-1.00,5.46
0,1122,-1.00,6.06
675,0,10.23,-1.00
725,0,8.16,-1.00
1162,0,7.83,-1.00
0,1025,-1.00,4.92
0,856,-1.00,8.13
0,0,-1.00,-1.00
0,828,-1.00,5.31
0,1469,-1.00,5.13
1420,0,6.19,-1.00
0,1502,-1.00,3.99
0,1235,-1.00,5.38
0,1026,-1.00,6.64
853,0,6.07,-1.00
0,821,-1.00,5.94
