pop1,pop2,k1,k2
1059,0,5.04,-1.00
0,899,-1.00,9.19
0,1102,-1.00,4.45
801,0,7.19,-1.00
776,0,5.92,-1.00
1190,0,6.57,-1.00
862,0,9.08,-1.00
894,0,6.65,-1.00
0,979,-1.00,6.29
0,728,-1.00,7.84
759,0,6.23,-1.00
0,780,-1.00,7.97
0,821,-1.00,6.00
827,0,5.47,-1.00
0,733,-1.00,10.93
0,1113,-1.00,6.07
1084,0,5.25,-1.00
724,0,10.97,-1.00
847,0,9.39,-1.00
0,913,-1.00,8.14
0,1084,-1.00,6.61
0,680,-1.00,8.57
0,610,-1.00,8.11
846,0,6.14,-1.00
1256,0,7.03,-1.00
0,639,-1.00,13.89
1028,0,9.10,-1.00
760,0,6.45,-1.00
794,0,4.65,-1.00
0,849,-1.00,5.75
0,1439,-1.00,4.38
758,0,6.52,-1.00
0,0,-1.00,-1.00
692,0,8.35,-1.00
1225,0,5.97,-1.00
0,720,-1.00,6.52
0,854,-1.00,7.74
788,0,6.26,-1.00
840,0,5.39,-1.00
680,0,8.08,-1.00
825,0,12.15,-1.00
1050,0,5.53,-1.00
0,830,-1.00,6.67
811,0,6.91,-1.00
0,839,-1.00,8.18
1037,0,11.94,-1.00
843,0,7.43,-1.00
1147,0,7.71,-1.00
705,0,10.63,-1.00
0,1211,-1.00,5.59
0,1005,-1.00,9.15
0,968,-1.00,12.27
892,0,5.74,-1.00
0,1052,-1.00,6.76
0,0,-1.00,-1.00
769,0,8.89,-1.00
0,870,-1.00,4.76
1074,0,4.74,-1.00
774,0,6.24,-1.00
985,0,6.56,-1.00
1074,0,5.49,-1.00
704,0,7.37,-1.00
0,885,-1.00,8.36
845,0,7.00,-1.00
759,0,7.62,-1.00
0,830,-1.00,7.67
1260,0,8.48,-1.00
679,0,9.46,-1.00
1022,0,7.37,-1.00
0,691,-1.00,6.83
0,1177,-1.00,4.93
0,1272,-1.00,6.72
1226,0,5.99,-1.00
646,0,8.00,-1.00
1079,0,5.43,-1.00
0,1187,-1.00,7.06
0,842,-1.00,7.22
953,0,9.75,-1.00
1244,0,7.26,-1.00
777,0,8.53,-1.00
343,0,14.65,-1.00
941,0,7.41,-1.00
1329,0,7.43,-1.00
0,1146,-1.00,8.16
632,0,8.36,-1.00
920,0,4.70,-1.00
0,987,-1.00,9.87
781,0,8.92,-1.00
568,0,12.70,-1.00
982,0,7.11,-1.00
1319,0,6.38,-1.00
0,752,-1.00,6.25
910,0,6.33,-1.00
1383,0,6.13,-1.00
0,761,-1.00,5.81
680,0,7.34,-1.00
876,0,7.13,-1.00
1411,0,7.01,-1.00
0,0,-1.00,-1.00
998,0,5.94,-1.00
