pop1,pop2,k1,k2
765,0,9.37,-1.00
5,0,25.00,-1.00
533,0,15.30,-1.00
895,0,10.88,-1.00
509,0,13.39,-1.00
638,0,10.27,-1.00
160,0,16.71,-1.00
0,2,-1.00,20.50
428,0,15.45,-1.00
806,0,13.60,-1.00
82,0,16.61,-1.00
941,0,9.71,-1.00
0,45,-1.00,14.89
352,0,14.03,-1.00
0,3,-1.00,18.33
701,0,14.41,-1.00
0,858,-1.00,13.72
34,0,17.97,-1.00
519,0,12.79,-1.00
685,0,13.99,-1.00
845,0,13.07,-1.00
928,0,9.39,-1.00
0,661,-1.00,10.73
0,22,-1.00,18.36
0,807,-1.00,12.70
558,0,11.14,-1.00
926,0,10.67,-1.00
469,0,15.51,-1.00
1,0,20.00,-1.00
943,0,13.66,-1.00
10,0,20.00,-1.00
732,0,9.02,-1.00
0,93,-1.00,15.99
598,0,10.89,-1.00
666,0,14.05,-1.00
541,0,11.53,-1.00
653,0,10.79,-1.00
0,141,-1.00,15.59
1004,0,9.81,-1.00
0,56,-1.00,15.93
3,0,28.33,-1.00
836,0,13.99,-1.00
684,0,13.35,-1.00
0,621,-1.00,14.55
0,216,-1.00,16.04
689,0,13.78,-1.00
0,95,-1.00,17.87
1,0,21.00,-1.00
179,0,15.93,-1.00
656,0,12.10,-1.00
883,0,12.16,-1.00
0,0,-1.00,-1.00
351,0,15.93,-1.00
0,812,-1.00,11.04
0,786,-1.00,12.38
0,73,-1.00,16.78
41,0,18.10,-1.00
950,0,9.99,-1.00
0,883,-1.00,11.35
134,0,15.84,-1.00
679,0,10.49,-1.00
808,0,11.22,-1.00
601,0,12.40,-1.00
901,0,8.97,-1.00
461,0,13.84,-1.00
0,469,-1.00,15.13
56,0,16.52,-1.00
115,0,17.38,-1.00
0,0,-1.00,-1.00
0,717,-1.00,14.63
0,858,-1.00,10.57
0,121,-1.00,16.71
43,0,19.42,-1.00
376,0,15.09,-1.00
584,0,12.64,-1.00
0,250,-1.00,15.86
4,0,19.00,-1.00
801,0,12.07,-1.00
0,521,-1.00,13.69
955,0,11.15,-1.00
858,0,12.89,-1.00
1075,0,11.49,-1.00
612,0,14.67,-1.00
36,0,18.25,-1.00
624,0,10.92,-1.00
762,0,14.41,-1.00
9,0,17.00,-1.00
1,0,22.00,-1.00
42,0,16.12,-1.00
1119,0,9.37,-1.00
0,819,-1.00,11.57
0,694,-1.00,11.31
643,0,13.15,-1.00
0,4,-1.00,22.75
0,589,-1.00,13.19
649,0,14.11,-1.00
40,0,16.88,-1.00
607,0,14.03,-1.00
8,0,18.38,-1.00
718,0,10.64,-1.00
