pop1,pop2,k1,k2
0,741,-1.00,2.17
697,0,3.05,-1.00
790,0,2.69,-1.00
0,717,-1.00,2.97
0,622,-1.00,3.97
734,0,2.71,-1.00
0,612,-1.00,3.33
0,862,-1.00,1.72
0,799,-1.00,1.87
0,873,-1.00,1.50
0,747,-1.00,2.70
0,706,-1.00,2.53
689,0,2.67,-1.00
0,742,-1.00,2.19
707,0,2.67,-1.00
0,805,-1.00,2.13
0,749,-1.00,2.48
0,768,-1.00,2.10
697,0,3.45,-1.00
474,0,5.07,-1.00
729,0,3.14,-1.00
0,743,-1.00,2.76
0,768,-1.00,2.96
0,719,-1.00,2.60
0,711,-1.00,2.74
0,786,-1.00,1.90
752,0,2.39,-1.00
0,797,-1.00,1.97
676,0,3.41,-1.00
0,859,-1.00,0.92
0,713,-1.00,2.76
765,0,2.78,-1.00
0,821,-1.00,1.83
0,709,-1.00,3.17
0,677,-1.00,3.26
0,797,-1.00,2.56
0,667,-1.00,3.50
757,0,2.52,-1.00
0,756,-1.00,2.93
747,0,3.07,-1.00
0,684,-1.00,3.29
0,709,-1.00,3.22
753,0,2.96,-1.00
649,0,2.72,-1.00
0,738,-1.00,2.72
0,670,-1.00,3.30
0,702,-1.00,2.92
741,0,2.99,-1.00
757,0,2.71,-1.00
0,747,-1.00,2.63
0,733,-1.00,2.88
0,682,-1.00,2.71
0,820,-1.00,1.87
757,0,2.44,-1.00
0,667,-1.00,3.07
639,0,3.64,-1.00
0,818,-1.00,1.99
737,0,2.91,-1.00
0,668,-1.00,3.70
0,832,-1.00,1.91
782,0,2.57,-1.00
0,704,-1.00,3.34
560,0,5.27,-1.00
0,712,-1.00,2.91
753,0,2.56,-1.00
685,0,3.73,-1.00
685,0,3.45,-1.00
0,596,-1.00,4.99
0,978,-1.00,0.93
0,800,-1.00,2.36
0,758,-1.00,2.32
0,641,-1.00,3.50
0,786,-1.00,1.81
0,750,-1.00,2.67
664,0,3.01,-1.00
678,0,2.99,-1.00
0,853,-1.00,1.76
0,740,-1.00,3.39
737,0,3.34,-1.00
0,885,-1.00,1.86
627,0,3.83,-1.00
0,781,-1.00,2.53
646,0,3.37,-1.00
0,819,-1.00,2.60
762,0,2.87,-1.00
0,730,-1.00,3.06
694,0,3.09,-1.00
0,960,-1.00,0.81
0,788,-1.00,1.90
0,662,-1.00,3.20
653,0,4.01,-1.00
712,0,3.42,-1.00
0,749,-1.00,2.79
736,0,3.19,-1.00
0,677,-1.00,3.50
679,0,3.48,-1.00
676,0,3.10,-1.00
0,724,-1.00,3.07
729,0,2.62,-1.00
0,633,-1.00,3.43
