pop1,pop2,k1,k2
0,701,-1.00,2.90
774,0,2.47,-1.00
746,0,2.92,-1.00
0,814,-1.00,1.74
719,0,3.32,-1.00
761,0,2.22,-1.00
0,777,-1.00,2.20
756,0,3.01,-1.00
0,690,-1.00,2.96
0,714,-1.00,2.63
712,0,2.93,-1.00
0,869,-1.00,1.42
0,777,-1.00,2.87
796,0,2.73,-1.00
0,658,-1.00,3.49
0,864,-1.00,1.64
0,837,-1.00,2.05
769,0,2.90,-1.00
800,0,2.52,-1.00
0,786,-1.00,1.58
0,764,-1.00,2.90
0,828,-1.00,2.27
723,0,3.01,-1.00
692,0,3.27,-1.00
792,0,3.17,-1.00
0,699,-1.00,3.61
486,0,5.20,-1.00
0,752,-1.00,2.41
626,0,3.83,-1.00
696,0,2.84,-1.00
0,752,-1.00,2.84
808,0,2.25,-1.00
0,713,-1.00,2.78
0,698,-1.00,2.59
679,0,2.98,-1.00
0,758,-1.00,2.54
659,0,3.78,-1.00
752,0,2.56,-1.00
755,0,2.70,-1.00
0,738,-1.00,2.93
0,770,-1.00,3.16
0,828,-1.00,2.54
637,0,3.52,-1.00
0,796,-1.00,2.66
672,0,3.68,-1.00
744,0,2.40,-1.00
746,0,3.15,-1.00
0,788,-1.00,3.07
0,693,-1.00,3.18
0,783,-1.00,2.12
720,0,2.79,-1.00
0,712,-1.00,3.11
711,0,3.59,-1.00
0,908,-1.00,0.75
0,849,-1.00,2.07
616,0,3.68,-1.00
645,0,3.25,-1.00
0,790,-1.00,2.65
726,0,3.34,-1.00
740,0,2.67,-1.00
0,766,-1.00,2.51
0,751,-1.00,2.94
0,573,-1.00,4.45
589,0,4.08,-1.00
0,638,-1.00,4.06
734,0,2.54,-1.00
803,0,2.92,-1.00
885,0,1.98,-1.00
0,917,-1.00,1.74
675,0,3.90,-1.00
729,0,3.24,-1.00
727,0,2.94,-1.00
0,833,-1.00,2.60
0,661,-1.00,2.65
790,0,2.63,-1.00
0,653,-1.00,2.86
786,0,2.57,-1.00
749,0,3.26,-1.00
712,0,2.63,-1.00
0,670,-1.00,2.44
0,598,-1.00,3.97
625,0,4.14,-1.00
0,836,-1.00,1.41
0,696,-1.00,2.87
697,0,3.25,-1.00
654,0,3.71,-1.00
664,0,3.47,-1.00
0,738,-1.00,3.09
765,0,2.70,-1.00
0,714,-1.00,3.27
674,0,3.74,-1.00
631,0,4.14,-1.00
0,693,-1.00,2.65
0,719,-1.00,2.92
748,0,3.06,-1.00
0,789,-1.00,2.59
761,0,3.05,-1.00
0,754,-1.00,2.35
0,698,-1.00,3.47
0,790,-1.00,2.10
