rep,k0,k1,k1-k0
1,9.095000,8.286000,-0.809000
2,9.132000,8.162000,-0.970000
3,8.970000,8.193000,-0.777000
4,8.934000,8.344000,-0.590000
5,9.149000,8.338000,-0.811000
6,8.819000,8.109000,-0.710000
7,9.087000,8.194000,-0.893000
8,8.883000,8.012000,-0.871000
9,9.017000,8.237000,-0.780000
10,8.999000,8.276000,-0.723000
11,9.086000,8.250000,-0.836000
12,9.028000,8.179000,-0.849000
13,9.209000,8.217000,-0.992000
14,9.057000,8.259000,-0.798000
15,9.180000,8.250000,-0.930000
16,8.954000,8.183000,-0.771001
17,9.154000,8.467000,-0.687000
18,8.884000,8.024000,-0.860000
19,8.898000,8.111000,-0.787000
20,9.116000,8.389000,-0.727000
21,8.839000,8.056000,-0.783000
22,9.175000,8.461000,-0.714000
23,9.119000,8.604000,-0.515000
24,9.007000,8.258000,-0.749000
25,9.115000,8.375000,-0.740000
26,9.018000,8.177000,-0.841000
27,9.014000,8.215000,-0.799000
28,8.771000,8.122000,-0.649000
29,9.057000,8.226000,-0.831000
30,8.777000,8.085000,-0.692000
31,9.198000,8.537000,-0.661000
32,8.900000,8.031000,-0.868999
33,9.125000,8.374000,-0.751000
34,8.973000,8.256000,-0.717000
35,8.893000,8.213000,-0.679999
36,9.062000,8.156000,-0.906000
37,8.802000,8.150000,-0.652000
38,8.869000,7.949000,-0.920001
39,8.970000,8.184000,-0.786000
40,9.198000,8.288000,-0.910000
41,8.990000,8.374000,-0.616000
42,8.876000,8.115000,-0.761001
43,8.956000,8.179000,-0.777000
44,8.963000,8.425000,-0.538000
45,9.055000,8.296000,-0.759001
46,9.075000,8.181000,-0.894000
47,9.044000,8.223000,-0.821000
48,8.932000,8.121000,-0.811000
49,8.986000,8.176000,-0.810000
50,8.968000,8.169000,-0.799001
51,8.944000,8.159000,-0.785000
52,9.130000,8.367000,-0.763000
53,9.082000,8.283000,-0.799000
54,9.044000,8.329000,-0.714999
55,9.020000,8.482000,-0.538000
56,8.949000,8.274000,-0.675000
57,8.942000,8.141000,-0.801001
58,8.995000,8.172000,-0.823000
59,9.220000,8.507000,-0.713000
60,9.094000,8.491000,-0.603000
61,8.900000,8.180000,-0.719999
62,8.966000,8.052000,-0.914000
63,8.986000,8.034000,-0.952000
64,8.960000,8.270000,-0.690000
65,9.051000,8.360000,-0.691000
66,8.904000,8.345000,-0.559000
67,8.972000,8.302000,-0.670000
68,9.035000,8.301000,-0.734000
69,9.118000,8.078000,-1.040000
70,8.922000,8.117000,-0.805000
71,8.880000,8.126000,-0.754000
72,9.049000,8.279000,-0.770000
73,9.022000,8.139000,-0.883000
74,8.920000,8.387000,-0.533000
75,9.163000,8.332000,-0.831000
76,8.935000,8.131000,-0.804001
77,9.164000,8.185000,-0.978999
78,8.814000,7.902000,-0.912000
79,8.949000,8.294000,-0.655001
80,9.002000,8.412000,-0.590000
81,9.167000,8.409000,-0.757999
82,9.010000,8.110000,-0.900001
83,9.017000,8.078000,-0.939000
84,8.979000,8.113000,-0.866000
85,9.001000,8.205000,-0.796000
86,8.961000,8.248000,-0.713000
87,9.001000,8.243000,-0.758000
88,9.011000,8.039000,-0.972000
89,8.864000,8.031000,-0.833000
90,9.136000,8.160000,-0.976000
91,8.934000,8.234000,-0.700000
92,8.825000,8.023000,-0.802000
93,9.148000,8.275000,-0.873000
94,9.022000,8.288000,-0.734000
95,8.985000,8.146000,-0.839000
96,8.965000,8.320000,-0.645000
97,9.129000,8.410000,-0.719000
98,9.066000,8.453000,-0.613000
99,8.932000,8.193000,-0.739000
100,9.086000,8.306000,-0.780001
101,9.047000,8.083000,-0.964000
102,9.008000,8.243000,-0.765000
103,8.751000,7.926000,-0.825000
104,9.025000,8.300000,-0.724999
105,8.882000,8.075000,-0.807000
106,9.168000,8.318000,-0.850000
107,8.765000,8.025000,-0.740001
108,9.045000,8.068000,-0.977000
109,9.018000,8.390000,-0.627999
110,8.962000,8.157000,-0.805000
111,9.049000,8.102000,-0.947000
112,9.058000,8.343000,-0.714999
113,9.015000,8.335000,-0.680000
114,9.103000,8.380000,-0.723000
115,9.049000,8.062000,-0.987000
116,9.013000,8.264000,-0.749000
117,8.903000,8.151000,-0.752000
118,8.920000,8.164000,-0.756001
119,8.940000,8.131000,-0.809000
120,9.076000,8.321000,-0.755000
121,9.132000,8.191000,-0.941000
122,8.935000,8.244000,-0.691000
123,9.092000,8.446000,-0.646000
124,9.038000,8.396000,-0.642000
125,8.978000,8.261000,-0.717000
126,8.980000,8.316000,-0.664000
127,8.940000,8.153000,-0.787000
128,8.994000,8.065000,-0.929001
129,8.999000,8.196000,-0.802999
130,8.990000,8.287000,-0.703000
131,8.891000,8.115000,-0.776000
132,8.914000,8.137000,-0.776999
133,9.046000,8.345000,-0.700999
134,9.002000,8.236000,-0.766000
135,9.048000,8.175000,-0.873000
136,9.113000,8.325000,-0.788000
137,8.942000,8.264000,-0.678000
138,8.854000,8.169000,-0.685000
139,9.005000,8.093000,-0.912000
140,8.928000,8.463000,-0.465000
141,8.956000,8.213000,-0.743000
142,8.959000,8.143000,-0.816000
143,8.911000,8.117000,-0.794001
144,8.992000,8.131000,-0.861000
145,9.106000,8.575000,-0.531000
146,8.926000,8.250000,-0.676000
147,9.030000,8.393000,-0.637000
148,8.989000,8.229000,-0.760000
149,8.973000,8.456000,-0.516999
150,9.026000,8.054000,-0.972000
151,8.942000,8.216000,-0.726001
152,9.046000,8.314000,-0.731999
153,8.972000,8.272000,-0.700000
154,8.816000,8.160000,-0.656000
155,9.095000,8.517000,-0.578000
156,9.072000,8.332000,-0.740000
157,9.078000,8.336000,-0.742000
158,8.943000,8.119000,-0.823999
159,8.995000,8.077000,-0.918000
160,9.031000,8.426000,-0.605000
161,9.075000,8.328000,-0.747000
162,8.847000,8.069000,-0.778000
163,8.961000,8.243000,-0.718000
164,8.978000,8.171000,-0.807000
165,9.059000,8.377000,-0.682000
166,9.137000,8.381000,-0.756001
167,9.027000,8.185000,-0.842000
168,9.021000,8.137000,-0.884000
169,9.025000,8.249000,-0.776000
170,8.972000,8.180000,-0.792000
171,9.204000,8.611000,-0.593000
172,8.990000,8.143000,-0.847000
173,9.091000,8.186000,-0.905000
174,8.996000,8.388000,-0.608001
175,9.147000,8.589000,-0.558001
176,8.987000,8.298000,-0.689000
177,9.053000,8.287000,-0.766001
178,8.923000,8.110000,-0.813001
179,8.920000,8.170000,-0.750000
180,9.020000,8.293000,-0.727000
181,8.832000,8.008000,-0.823999
182,9.068000,8.278000,-0.790000
183,8.830000,8.196000,-0.634000
184,8.859000,8.083000,-0.776000
185,9.049000,8.367000,-0.682000
186,8.754000,8.202000,-0.552000
187,9.118000,8.263000,-0.855000
188,9.087000,8.308000,-0.779000
189,9.023000,8.232000,-0.790999
190,8.812000,7.967000,-0.845000
191,8.867000,7.978000,-0.888999
192,9.034000,8.183000,-0.851001
193,9.128000,8.314000,-0.814000
194,9.042000,8.272000,-0.770000
195,8.928000,8.164000,-0.764001
196,8.947000,8.172000,-0.775000
197,8.852000,8.058000,-0.794001
198,9.125000,8.426000,-0.699000
199,8.854000,8.161000,-0.693000
200,8.883000,8.214000,-0.669001
201,9.013000,8.193000,-0.820000
202,9.175000,8.586000,-0.589000
203,8.954000,8.093000,-0.861000
204,8.981000,8.344000,-0.637000
205,9.008000,8.259000,-0.749001
206,8.833000,7.951000,-0.882000
207,9.057000,8.147000,-0.910000
208,8.868000,8.090000,-0.778000
209,9.069000,8.372000,-0.697001
210,9.046000,8.212000,-0.834000
211,8.942000,8.299000,-0.643001
212,8.994000,8.329000,-0.665000
213,8.999000,8.031000,-0.967999
214,8.854000,8.117000,-0.737000
215,9.034000,8.237000,-0.797000
216,8.975000,8.109000,-0.866000
217,8.984000,8.143000,-0.841001
218,9.008000,8.147000,-0.861000
219,8.884000,7.886000,-0.998000
220,8.921000,8.039000,-0.882000
221,9.047000,8.336000,-0.710999
222,9.042000,8.303000,-0.738999
223,8.934000,8.320000,-0.614000
224,9.127000,8.228000,-0.899000
225,8.996000,8.363000,-0.633000
226,9.072000,8.332000,-0.740000
227,9.106000,8.405000,-0.701000
228,9.142000,8.415000,-0.727000
229,8.839000,8.206000,-0.632999
230,9.121000,8.288000,-0.833000
231,9.046000,8.114000,-0.931999
232,8.943000,8.643000,-0.300000
233,8.903000,8.325000,-0.578000
234,8.919000,8.029000,-0.889999
235,9.104000,8.289000,-0.815001
236,8.758000,8.077000,-0.681001
237,9.059000,8.224000,-0.835000
238,9.052000,8.116000,-0.936000
239,8.888000,8.220000,-0.667999
240,9.190000,8.313000,-0.877000
241,8.961000,8.294000,-0.667001
242,8.937000,8.072000,-0.865001
243,9.070000,8.305000,-0.764999
244,8.982000,8.178000,-0.804000
245,8.901000,8.091000,-0.810000
246,9.092000,8.180000,-0.912000
247,8.985000,8.402000,-0.582999
248,9.034000,8.305000,-0.729000
249,8.943000,8.284000,-0.658999
250,9.038000,8.381000,-0.657001
251,8.984000,8.225000,-0.759000
252,9.025000,8.276000,-0.749000
253,8.839000,7.998000,-0.841000
254,9.095000,8.226000,-0.869000
255,8.983000,8.107000,-0.875999
256,9.026000,8.160000,-0.866000
257,8.911000,7.972000,-0.939000
258,8.840000,8.108000,-0.732000
259,8.932000,8.254000,-0.678000
260,9.010000,8.490000,-0.520000
261,8.970000,8.092000,-0.878000
262,8.973000,8.295000,-0.677999
263,9.003000,8.341000,-0.662001
264,9.010000,8.341000,-0.669001
265,8.986000,8.139000,-0.847000
266,8.988000,7.873000,-1.115000
