pop1,pop2,k1,k2
1139,0,6.95,-1.00
0,786,-1.00,11.74
914,0,4.75,-1.00
0,794,-1.00,8.63
0,0,-1.00,-1.00
1074,0,6.05,-1.00
0,678,-1.00,8.00
0,877,-1.00,10.96
657,0,8.35,-1.00
456,0,14.45,-1.00
799,0,6.93,-1.00
924,0,9.88,-1.00
1148,0,7.99,-1.00
0,80,-1.00,15.28
927,0,6.23,-1.00
1189,0,5.91,-1.00
0,848,-1.00,6.29
1137,0,6.26,-1.00
70,0,15.24,-1.00
613,0,11.91,-1.00
902,0,5.67,-1.00
0,0,-1.00,-1.00
1123,0,8.60,-1.00
642,0,10.37,-1.00
0,1060,-1.00,8.30
678,0,8.60,-1.00
0,1382,-1.00,7.39
810,0,5.61,-1.00
745,0,7.47,-1.00
0,74,-1.00,14.57
1390,0,6.66,-1.00
0,859,-1.00,6.32
471,0,14.56,-1.00
829,0,6.81,-1.00
1281,0,5.00,-1.00
890,0,7.97,-1.00
0,270,-1.00,15.28
0,554,-1.00,12.17
946,0,8.36,-1.00
850,0,7.93,-1.00
1052,0,10.30,-1.00
773,0,7.59,-1.00
0,1062,-1.00,9.19
859,0,7.02,-1.00
0,674,-1.00,9.07
0,546,-1.00,13.87
0,986,-1.00,7.03
0,970,-1.00,8.99
0,0,-1.00,-1.00
0,573,-1.00,12.14
1162,0,10.13,-1.00
0,814,-1.00,7.56
889,0,6.75,-1.00
1154,0,9.08,-1.00
569,0,11.32,-1.00
776,0,6.21,-1.00
508,0,13.05,-1.00
0,1112,-1.00,8.47
0,1001,-1.00,10.71
644,0,14.11,-1.00
0,974,-1.00,10.97
663,0,9.08,-1.00
1189,0,6.50,-1.00
817,0,4.74,-1.00
0,826,-1.00,9.10
824,0,7.49,-1.00
1028,0,5.92,-1.00
0,667,-1.00,10.74
1140,0,7.60,-1.00
0,728,-1.00,9.56
766,0,6.21,-1.00
493,0,13.56,-1.00
1224,0,7.07,-1.00
0,1039,-1.00,7.46
0,769,-1.00,6.70
1097,0,7.30,-1.00
0,0,-1.00,-1.00
0,611,-1.00,11.19
723,0,7.03,-1.00
0,0,-1.00,-1.00
0,887,-1.00,7.42
1044,0,7.12,-1.00
751,0,7.84,-1.00
0,707,-1.00,8.12
844,0,8.70,-1.00
1380,0,5.23,-1.00
0,829,-1.00,6.74
733,0,7.39,-1.00
665,0,10.83,-1.00
795,0,7.84,-1.00
954,0,12.82,-1.00
0,0,-1.00,-1.00
1158,0,6.20,-1.00
995,0,5.92,-1.00
0,729,-1.00,9.03
718,0,9.27,-1.00
0,983,-1.00,8.26
825,0,6.53,-1.00
969,0,10.49,-1.00
755,0,5.95,-1.00
705,0,6.92,-1.00
0,664,-1.00,8.88
0,545,-1.00,12.95
867,0,10.75,-1.00
0,669,-1.00,10.32
0,1021,-1.00,8.19
1086,0,6.12,-1.00
860,0,7.09,-1.00
0,0,-1.00,-1.00
1405,0,7.19,-1.00
0,1018,-1.00,6.64
0,815,-1.00,6.27
583,0,10.24,-1.00
594,0,11.01,-1.00
0,0,-1.00,-1.00
0,1280,-1.00,7.21
987,0,4.40,-1.00
807,0,7.75,-1.00
756,0,8.62,-1.00
0,690,-1.00,7.86
1029,0,7.27,-1.00
1270,0,6.44,-1.00
877,0,9.82,-1.00
912,0,9.80,-1.00
809,0,9.02,-1.00
932,0,13.55,-1.00
0,0,-1.00,-1.00
1325,0,7.92,-1.00
1037,0,6.30,-1.00
0,819,-1.00,7.64
823,0,7.28,-1.00
0,758,-1.00,7.95
797,0,8.38,-1.00
1256,0,6.40,-1.00
0,650,-1.00,12.71
529,0,10.68,-1.00
739,0,8.66,-1.00
0,875,-1.00,12.00
0,628,-1.00,9.75
1057,0,7.92,-1.00
920,0,12.97,-1.00
1043,0,5.50,-1.00
1184,0,4.79,-1.00
0,987,-1.00,6.31
0,1102,-1.00,6.94
788,0,6.64,-1.00
0,600,-1.00,10.00
1067,0,8.07,-1.00
0,811,-1.00,8.94
0,1279,-1.00,6.74
993,0,10.08,-1.00
0,0,-1.00,-1.00
0,593,-1.00,10.23
767,0,5.78,-1.00
1278,0,8.21,-1.00
839,0,8.31,-1.00
0,690,-1.00,8.41
717,0,7.86,-1.00
0,0,-1.00,-1.00
0,845,-1.00,7.48
780,0,8.62,-1.00
917,0,5.34,-1.00
0,784,-1.00,6.89
0,592,-1.00,10.24
0,1085,-1.00,9.21
1427,0,7.53,-1.00
1077,0,8.33,-1.00
265,0,15.00,-1.00
0,562,-1.00,11.69
526,0,12.83,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1056,0,8.22,-1.00
0,857,-1.00,6.02
0,854,-1.00,8.07
0,0,-1.00,-1.00
641,0,9.72,-1.00
0,877,-1.00,9.28
1291,0,6.30,-1.00
0,940,-1.00,12.33
711,0,6.23,-1.00
820,0,6.64,-1.00
595,0,10.93,-1.00
727,0,7.50,-1.00
0,0,-1.00,-1.00
670,0,8.49,-1.00
819,0,9.94,-1.00
647,0,10.42,-1.00
0,1112,-1.00,7.98
859,0,7.90,-1.00
0,697,-1.00,6.97
1007,0,9.34,-1.00
865,0,8.76,-1.00
948,0,6.84,-1.00
0,1054,-1.00,11.99
0,0,-1.00,-1.00
846,0,8.39,-1.00
931,0,6.04,-1.00
0,637,-1.00,8.96
924,0,7.15,-1.00
0,1038,-1.00,7.71
0,1108,-1.00,7.96
853,0,5.56,-1.00
1145,0,7.73,-1.00
768,0,7.30,-1.00
0,0,-1.00,-1.00
982,0,7.65,-1.00
1087,0,10.42,-1.00
1300,0,7.38,-1.00
919,0,6.46,-1.00
936,0,8.99,-1.00
0,648,-1.00,11.82
0,759,-1.00,8.43
858,0,8.31,-1.00
650,0,10.44,-1.00
1116,0,7.70,-1.00
809,0,10.02,-1.00
763,0,6.15,-1.00
0,1066,-1.00,11.22
0,717,-1.00,7.26
844,0,7.17,-1.00
0,610,-1.00,10.43
605,0,9.90,-1.00
0,0,-1.00,-1.00
1435,0,6.01,-1.00
629,0,10.47,-1.00
779,0,10.78,-1.00
1283,0,7.79,-1.00
0,993,-1.00,6.27
0,0,-1.00,-1.00
1222,0,7.93,-1.00
789,0,9.30,-1.00
726,0,9.98,-1.00
0,825,-1.00,6.66
0,792,-1.00,11.20
564,0,13.15,-1.00
1199,0,7.52,-1.00
0,413,-1.00,13.81
0,1077,-1.00,10.30
0,1092,-1.00,9.10
0,966,-1.00,6.72
693,0,9.71,-1.00
706,0,12.69,-1.00
0,978,-1.00,6.36
777,0,7.67,-1.00
844,0,9.64,-1.00
0,1134,-1.00,8.39
0,946,-1.00,5.29
0,682,-1.00,12.26
1141,0,7.14,-1.00
0,796,-1.00,9.98
0,1206,-1.00,5.33
0,830,-1.00,7.74
745,0,9.97,-1.00
768,0,11.68,-1.00
0,929,-1.00,5.41
0,1230,-1.00,5.91
1047,0,6.45,-1.00
0,687,-1.00,7.73
602,0,8.87,-1.00
0,1366,-1.00,6.70
0,747,-1.00,6.24
1028,0,9.23,-1.00
0,420,-1.00,14.71
905,0,5.96,-1.00
1001,0,9.34,-1.00
999,0,7.04,-1.00
673,0,9.89,-1.00
684,0,9.38,-1.00
550,0,11.68,-1.00
0,781,-1.00,6.47
0,1117,-1.00,8.66
0,0,-1.00,-1.00
